d_over_a,xi_over_a,theta_degrees,sites_per_layer,intralayer_second_moment,interlayer_second_moment,total_second_moment,identity_absolute_error
0.98,0.03,16.499999999999996,1510,2.9284768211920613,0.2850701500887182,3.2135469712807794,1.6653345369377348e-16
0.98,0.03,18.0,1510,2.9284768211920613,0.27494965646238084,3.203426477654442,5.551115123125783e-17
0.98,0.03,19.5,1510,2.9284768211920613,0.2695369127095735,3.1980137339016355,6.661338147750939e-16
0.98,0.03,20.999999999999996,1510,2.9284768211920613,0.26973045642819504,3.1982072776202566,2.220446049250313e-16
0.98,0.03,22.5,1510,2.9284768211920613,0.2576162704190715,3.1860930916111325,2.7755575615628914e-16
0.98,0.03,24.0,1510,2.9284768211920613,0.2708918240698865,3.199368645261947,6.106226635438361e-16
0.98,0.03,25.499999999999996,1510,2.9284768211920613,0.2702753798313904,3.198752201023451,6.661338147750939e-16
0.98,0.03,27.0,1510,2.9284768211920613,0.2664585227305648,3.194935343922626,1.1102230246251565e-16
0.98,0.03,28.5,1510,2.9284768211920613,0.26418989501212864,3.1926667162041906,6.661338147750939e-16
0.98,0.03,29.999999999999996,1510,2.9284768211920613,0.2718378635815405,3.200314684773602,1.1102230246251565e-16
0.98,0.03,31.5,1510,2.9284768211920613,0.2776679946182809,3.2061448158103425,2.7755575615628914e-16
0.98,0.03,32.99999999999999,1510,2.9284768211920613,0.2752875356599312,3.203764356851992,4.996003610813204e-16
0.98,0.03,34.5,1510,2.9284768211920613,0.2599830534372799,3.1884598746293413,1.1102230246251565e-16
0.98,0.03,36.0,1510,2.9284768211920613,0.27400745550290107,3.2024842766949617,6.661338147750939e-16
0.98,0.03,37.49999999999999,1510,2.9284768211920613,0.2753727203385838,3.203849541530645,5.551115123125783e-17
0.98,0.03,39.0,1510,2.9284768211920613,0.27500976625369794,3.2034865874457594,1.6653345369377348e-16
0.98,0.03,40.5,1510,2.9284768211920613,0.2613236697595125,3.189800490951574,2.220446049250313e-16
0.98,0.03,41.99999999999999,1510,2.9284768211920613,0.25375258087293456,3.182229402064995,8.326672684688674e-16
0.98,0.03,43.5,1510,2.9284768211920613,0.28444895316785174,3.212925774359914,1.1657341758564144e-15
