series,index,angle_deg,input_present,output_present,cp2k_version,run_type,basis,scf_converged,program_ended,scf_steps,multiplicity,relative_cutoff_ha,input_sha256,output_sha256,atoms,lower_c,upper_c,hydrogen,separation_angstrom,xyz_sha256,input_cutoff,input_ngrids,input_eps_default,input_eps_scf,input_max_scf,input_scf_guess,input_added_mos,input_electronic_temperature,input_periodic,alpha_present,alpha_rows,alpha_fermi_ha,alpha_emin_ev,alpha_emax_ev,alpha_sha256,alpha_output_mos,alpha_electrons,alpha_rows_match_output,beta_present,beta_rows,beta_fermi_ha,beta_emin_ev,beta_emax_ev,beta_sha256,beta_output_mos,beta_electrons,beta_rows_match_output
DZVP_IL_25/IL_25_z2-15,28,46.8,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,False,False,,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,4a37b6d85472c4cd2a96e3bcbe39783254332af6c9f8b552365ff501228663ac,2322,1250,981,91,2.15,3a6c9769ee41896c53390800ae33f9c46d7658745a4cd22e4eb854d771566e9d,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,False,,,,,,,,,False,,,,,,,,
DZVP_IL_25/IL_25_z2-15,29,47.4,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,38,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,014b60c900f59d43f4f9d9483742f410f08fa7eec2e70efbd49a777391d6f587,2318,1250,978,90,2.15,a5f6606483b17454b033cff4675ef6df74cca568f843b9b29eea13b445059875,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4801,0.027233,-21.364446708535997,2.34072325168,50304526e44a5d3a220d000b3fc8051adb7b1c257ae8a07c72df08b30ef60031,4801,4501,True,True,4801,0.027233,-21.364446708535997,2.34072325168,34b5450638493121413a25e87508f13a72de6b76fd64f8a85cd9c70d6ce8f057,4801,4501,True
DZVP_IL_25/IL_25_z2-15,2,31.2,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,78,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,2d31e2db439ebefe0f789698d25ce46666e1c417957a1e03ab42c221a9314326,2352,1250,1005,97,2.15,7dc84cf8d6873f63c13192c18d5655f229f2b1db9bfeab3e6bd509442fbb8fbb,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4859,0.031128,-21.394079905712,2.3723156685039997,c82715c7a085d42d3387a69a905ce5e603f57e8d8a667cf34033c6fa2d68d1b1,4859,4559,True,True,4858,0.031128,-21.394107117096,2.365376765584,438086c10490a70aff34394c993636697dcdaa7cc7519e84cca157e6dceff6d2,4858,4558,True
DZVP_IL_25/IL_25_z2-15,30,48.0,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,39,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,43540ccda6aa81d8b96b563a0e653fa37edd46f488df53f2c6ad15ff7469cbf5,2318,1250,978,90,2.15,920b09257f4d87a2beb589ce66bf02b59e4b5fdf902d50436b9aa4fa23d16376,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4801,0.026866,-21.363603155632003,2.335090495192,a74d33e718f1c4869683ca95e309d95dafcba05da503752a479509de5d2031b1,4801,4501,True,True,4801,0.026866,-21.363603155632003,2.335090495192,d189e04f73d6d802a656311d016400210b04ef9b8006b1f79ee466e21c8d1116,4801,4501,True
DZVP_IL_25/IL_25_z2-15,31,48.6,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,37,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,3f44ca7ea23fa852ff28be07e4d8817e3a103a2291987a8885819ad197ce57cf,2320,1250,980,90,2.15,7f4e1bfa389082ba7bf592099c568740d4ff680cdaf9c11595a4b6523c6db50b,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4805,0.027341,-21.375984335351998,2.3375395197519997,1d44777da7cc54ce8fa4dfd6aaad404891ae135e255bec2e032018e015903c7b,4805,4505,True,True,4805,0.027341,-21.375984335351998,2.3375395197519997,f9d011c9eba9bfd7d1ef97581f08d0078ca91f31e2e223c20397bdfba25f85f8,4805,4505,True
DZVP_IL_25/IL_25_z2-15,32,49.2,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,False,False,,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,1dce77e29fa00f66e7877032912e1d1785a618a8607be5612bfe6b0e23c8e457,2314,1250,975,89,2.15,335bd3f7f488553d14152678797950f6527a489ee6bab407bd2754bd533e0967,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,False,,,,,,,,,False,,,,,,,,
DZVP_IL_25/IL_25_z2-15,33,49.8,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,False,False,,2,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,e1beabc4e418fa92c2f14e2eb3674b848f93c69f4b5f39e17c9666d4ff93232d,2316,1250,977,89,2.15,b8f3a52fd454f8f945684938cac4b3cf0ce6b2a9eded7d23bb041441b59e1b8a,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,False,,,,,,,,,False,,,,,,,,
DZVP_IL_25/IL_25_z2-15,34,50.4,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,45,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,7d7e6896df22458fa6c4b0a35ad016f6212093fd6aa1c1ffcf6e2c8f16907bba,2312,1250,974,88,2.15,f873173c27d9663a45b2c6ca5241057b42a42224127059b6d1cee20614cb9c48,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4792,0.02689,-21.396120759511998,2.325403242488,61851bf808b62c421a9aa4567d65ed4a5ac974048ce673e66fc40751c2d7d361,4792,4492,True,True,4792,0.02689,-21.396120759511998,2.325403242488,c94c1decb7b0ffccca317045b9198dcfad99f84dc8c9c8d741350b480cacf476,4792,4492,True
DZVP_IL_25/IL_25_z2-15,35,51.0,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,47,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,467481491df02e26deaba9b1f2d7e9d4d50b27797697b81e1cf5b710a2dd4458,2312,1250,974,88,2.15,b433d5fe17deb6d2a3f7512dfd945cf74602d5249bb8210d42bbb0c8113f34ed,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4792,0.027975,-21.419087167607998,2.2894025814559997,bdafec3941b2cd2da312ed57f4b4f0b9602dab1b388933133181ba06d202b488,4792,4492,True,True,4792,0.027975,-21.419087167607998,2.2894025814559997,4f6c29003adb5c3837dfcd12addfc876101258e7c7a1e44b91d05f186d8188cd,4792,4492,True
DZVP_IL_25/IL_25_z2-15,36,51.6,True,True,2023.1,ENERGY,DZVP-MOLOPT-GTH,True,True,45,1,20.0,e33c6bb8e60137e11924b33f0ad48c6a46f9cd4386fdfd698740344fb2aed195,c2cac1dc3c6c3cec38cdf68326f78231a9f27dedab199f34dfee90b6b51a52f8,2312,1250,974,88,2.15,75b609e0801159583c4cedfabb2e7b6c47008c2de406ddf1348e1d6c2ba84350,300,5,1.0E-10,1.0E-5,6000,ATOMIC,300,[K]  300,XYZ,True,4792,0.027199,-21.419713029439997,2.3005592488959996,3f15c8945cf50e64179018b846a51f36ee8c0e976b6c8d4e38ee7d2c9df579ae,4792,4492,True,True,4792,0.027199,-21.419713029439997,2.3005592488959996,ad2ecfd8ef2f8fe62f31e575128aec859aaca96ab1dd44b2642262ab45036638,4792,4492,True
